origin,img_name,mouth,rotation,l_away,eyes_closed,close,hat,dark_glasses,frames_heavy,frame_eyes,flash_lenses,veil,reflection,light,sh_face,sh_head,blurred,ink_mark,skin_tone,washed_out,pixelation,hair_eyes,background,red_eyes
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/validation/AR_w-040-3_PX6.png,1.0,1.0,1.0,0.94,1.0,0.99,1.0,1.0,0.0,1.0,0.97,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_vsoft_343.png,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,1.0,0.99,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_vsoft_25.png,1.0,1.0,0.0,0.62,1.0,0.010000000000000009,1.0,1.0,1.0,0.0,0.99,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04211d88.jpg,1.0,1.0,1.0,0.78,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04756d35.jpg,1.0,1.0,1.0,0.87,1.0,0.010000000000000009,1.0,1.0,1.0,1.0,0.89,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_899.png,1.0,0.0,0.0,0.16000000000000003,1.0,0.99,1.0,1.0,1.0,1.0,0.97,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_w-009-16_px_6.png,1.0,1.0,1.0,0.93,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_299.png,1.0,0.0,0.0,0.54,1.0,0.99,1.0,1.0,0.0,0.0,0.99,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04603d63.jpg,1.0,1.0,1.0,0.87,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_650.png,1.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.98,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04339d86.jpg,1.0,1.0,1.0,0.86,1.0,0.99,1.0,1.0,1.0,1.0,0.99,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-040-6.png,1.0,1.0,1.0,0.89,1.0,0.99,1.0,0.0,0.0,1.0,0.94,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04830d44.jpg,1.0,0.0,1.0,0.87,1.0,0.010000000000000009,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-009-24.png,1.0,1.0,1.0,0.9,1.0,0.99,1.0,1.0,1.0,1.0,0.07999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-003-9.png,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_w-012-7.png,1.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.97,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_1197.png,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.97,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04211d75.jpg,1.0,1.0,1.0,0.93,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/validation/AR_m-037-8.png,1.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04830d50.jpg,1.0,1.0,1.0,0.61,1.0,0.010000000000000009,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/validation/Fall2003_04699d02.jpg,1.0,1.0,0.0,0.24,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_1074.png,1.0,0.0,0.0,0.95,1.0,0.010000000000000009,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04687d87.jpg,1.0,1.0,0.0,0.33,1.0,0.010000000000000009,1.0,1.0,1.0,1.0,0.94,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_mit_264.png,1.0,1.0,1.0,0.9,1.0,0.99,1.0,0.0,0.0,0.0,0.96,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04553d36.jpg,1.0,1.0,1.0,0.89,1.0,0.99,1.0,1.0,1.0,1.0,0.97,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-073-26.png,1.0,1.0,1.0,0.83,1.0,0.99,1.0,0.0,0.0,1.0,0.020000000000000018,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/validation/AR_w-011-12.png,1.0,1.0,1.0,0.85,1.0,0.99,1.0,1.0,1.0,1.0,0.010000000000000009,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04709d141.jpg,1.0,1.0,1.0,0.62,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_w-017-12_px_4.png,0.0,1.0,1.0,0.83,1.0,0.99,1.0,1.0,1.0,1.0,0.24,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_1147.png,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_89.png,1.0,1.0,1.0,0.79,1.0,0.010000000000000009,1.0,1.0,0.0,1.0,0.93,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04351d35.jpg,1.0,0.0,0.0,0.75,1.0,0.020000000000000018,1.0,1.0,1.0,1.0,0.97,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_w-009-13.png,1.0,1.0,1.0,0.97,1.0,0.99,1.0,1.0,0.0,1.0,0.41000000000000003,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_w-017-24_px_8.png,0.0,0.0,0.0,0.37,1.0,0.99,1.0,0.0,0.0,1.0,0.07999999999999996,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04557d434.jpg,1.0,1.0,1.0,0.95,1.0,0.99,1.0,1.0,0.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_835.png,1.0,1.0,1.0,0.14,1.0,0.99,1.0,0.0,0.0,0.0,0.99,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_819.png,1.0,0.0,0.0,0.66,1.0,0.99,1.0,1.0,1.0,1.0,0.94,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04201d321_px_6.png,1.0,0.0,1.0,0.95,1.0,0.99,0.0,1.0,0.0,1.0,0.91,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-008-25.png,0.0,1.0,0.0,0.86,1.0,0.99,1.0,1.0,0.0,0.0,0.06000000000000005,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04449d00.JPG,1.0,1.0,1.0,0.8,1.0,0.010000000000000009,1.0,1.0,0.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_vsoft_61.png,1.0,0.0,1.0,0.18,1.0,0.020000000000000018,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/VSOFT_040.png,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_w-005-12.png,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-007-10.png,1.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.98,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_74.png,1.0,0.0,1.0,0.9,1.0,0.010000000000000009,1.0,1.0,1.0,1.0,0.34,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/validation/AR_m-035-2.png,0.0,0.0,1.0,0.93,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04286d80.jpg,1.0,0.0,0.0,0.38,1.0,0.010000000000000009,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-069-26.png,1.0,1.0,1.0,0.92,1.0,0.99,1.0,1.0,1.0,1.0,0.020000000000000018,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-026-6.png,1.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_705.png,1.0,1.0,1.0,0.93,1.0,0.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04589d01.jpg,1.0,1.0,1.0,0.38,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-043-15.png,0.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04516d40.JPG,1.0,1.0,1.0,0.38,1.0,0.010000000000000009,1.0,1.0,1.0,1.0,0.48,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/VSOFT_289.png,1.0,0.0,0.0,0.76,1.0,0.99,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_vsoft_307.png,1.0,0.0,0.0,0.69,1.0,0.99,1.0,1.0,1.0,1.0,0.79,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-052-21.png,1.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04535d66.jpg,1.0,1.0,1.0,0.66,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-021-7.png,1.0,1.0,1.0,0.95,1.0,0.99,1.0,1.0,1.0,1.0,0.48,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04535d77.jpg,0.0,0.0,1.0,0.54,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-034-17.png,0.0,1.0,0.0,0.06999999999999995,1.0,0.99,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_vsoft_248.png,1.0,0.0,1.0,0.8,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_150.png,1.0,0.0,0.0,0.65,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/VSOFT_031.png,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_57.png,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.84,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04217d356.jpg,0.0,1.0,1.0,0.94,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04572d56.jpg,1.0,1.0,0.0,0.93,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/VSOFT_149.png,1.0,0.0,0.0,0.79,1.0,0.99,1.0,0.0,0.0,0.0,0.68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_1005.png,1.0,0.0,0.0,0.84,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_608.png,1.0,1.0,1.0,0.86,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/AR_FDB_m-051-10.png,1.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.45,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_440.png,1.0,0.0,0.0,0.77,1.0,0.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_vsoft_281.png,1.0,0.0,0.0,0.18,1.0,0.99,1.0,0.0,1.0,1.0,0.87,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04598d283.jpg,1.0,1.0,0.0,0.06999999999999995,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_expotec_285.png,1.0,0.0,1.0,0.45,1.0,0.99,1.0,0.0,0.0,0.0,0.95,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/visio_icao_mit_302.png,1.0,0.0,0.0,0.76,1.0,0.21999999999999997,1.0,0.0,0.0,0.0,0.98,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04334d62.jpg,0.0,0.0,1.0,0.9,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
VSOFT,/home/guilherme/data1/Dropbox/Link to Desktop/Doutorado/Datasets/icao_dataset/train/FRGC_04286d235.jpg,1.0,1.0,0.0,0.38,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
